ID_REF,Mapped Chromosome Position
2325290.0,chr1:24117480-24122593
2325358.0,chr1:24562799-24690962
2325410.0,chr1:24740034-24799465
2325479.0,chr1:24829326-24867525
2325526.0,chr1:24958227-25057381
2325593.0,chr1:25070615-25198789
2325877.0,chr1:25598991-25656936
2326018.0,chr1:25889009-25896164
2326049.0,chr1:25943959-26114211
2326126.0,chr1:26126677-26144707
2326157.0,chr1:26146272-26159422
2326237.0,chr1:26320247-26362920
2326286.0,chr1:26437684-26452024
2326295.0,chr1:26485521-26489315
2326311.0,chr1:26496226-26499101
2326327.0,chr1:26500634-26516370
2326410.0,chr1:26560678-26605285
2326448.0,chr1:26606082-26608004
2326463.0,chr1:26644417-26647000
2326485.0,chr1:26737287-26756190
2326496.0,chr1:26758783-26797895
2326531.0,chr1:26798430-26827426
2326561.0,chr1:26856258-26901495
2326640.0,chr1:27022522-27108590
2326707.0,chr1:27113983-27126438
2326749.0,chr1:27153211-27184075
2326774.0,chr1:27189630-27190917
2326799.0,chr1:27226749-27273357
2326846.0,chr1:27312707-27330844
2326912.0,chr1:27561170-27635090
2326954.0,chr1:27648634-27663052
2326993.0,chr1:27668294-27680408
2327045.0,chr1:27718735-27722311
2327188.0,chr1:28052485-28089625
2327219.0,chr1:28099735-28150950
2327259.0,chr1:28157317-28178178
2327283.0,chr1:28199083-28214208
2327310.0,chr1:28261524-28285648
2327338.0,chr1:28286252-28300421
2327375.0,chr1:28562611-28573410
2327391.0,chr1:28583165-28608999
2327418.0,chr1:28655453-28705303
2327482.0,chr1:28832475-28929906
2327542.0,chr1:28879549-28905050
2327572.0,chr1:28918712-28921093
2327603.0,chr1:28995244-29042705
2327630.0,chr1:29063153-29096272
2327659.0,chr1:29138654-29190477
2327677.0,chr1:29213635-29448704
2327817.0,chr1:29563028-29653292
2328236.0,chr1:31769842-31838698
2328273.0,chr1:31880031-31907522
2328320.0,chr1:31971816-32053283
2328387.0,chr1:32083072-32093214
2328465.0,chr1:32439662-32526447
2328475.0,control
2328476.0,control
2328477.0,control
2328484.0,control
2328486.0,control
2328487.0,control
2328488.0,control
2328489.0,control
2328492.0,control
2328494.0,control
2328496.0,control
2328499.0,control
2328500.0,control
2328501.0,control
2328502.0,control
2328503.0,control
2328504.0,control
2328511.0,control
2328513.0,control
2328515.0,control
2328517.0,control
2328519.0,control
2328521.0,control
2328523.0,control
2328525.0,control
2328527.0,control
2328529.0,control
2328531.0,control
2328533.0,control
2328535.0,control
2328537.0,control
2328539.0,control
2328541.0,control
2328543.0,control
2328545.0,control
2328547.0,control
2328549.0,control
2328551.0,control
2328553.0,control
2328555.0,control
2328557.0,control
2328559.0,control
2328561.0,control
2328563.0,control
2328565.0,control
2328567.0,control
2328569.0,control
2328571.0,control
2328573.0,control
2328575.0,control
2328577.0,control
2328579.0,control
2328581.0,control
2328583.0,control
2328585.0,control
2328587.0,control
2328589.0,control
2328591.0,control
2328593.0,control
2328595.0,control
2328597.0,control
2328599.0,control
2328601.0,control
2328603.0,control
2328605.0,control
2328607.0,control
2328609.0,control
2328611.0,control
2328613.0,control
2328615.0,control
2328617.0,control
2328619.0,control
2328621.0,control
2328623.0,control
2328633.0,chr1:32527959-32568465
2328674.0,chr1:32573580-32642242
2328713.0,chr1:32645297-32663880
2328750.0,chr1:32666024-32670985
2328767.0,chr1:32671253-32674257
2328808.0,chr1:32687991-32697175
2328837.0,chr1:32712834-32714457
2328841.0,chr1:32716876-32751759
2328868.0,chr1:32757707-32800226
2328909.0,chr1:32818350-32829913
2328936.0,chr1:32930658-33067927
2328990.0,chr1:33116769-33151804
2329041.0,chr1:33207506-33240571
2329077.0,chr1:33282876-33324966
2329131.0,chr1:33351615-33364022
2329196.0,chr1:33546398-33586672
2329266.0,chr1:33685115-33766315
2329341.0,chr1:33938259-33963343
2329386.0,chr1:34326076-34374566
2329481.0,chr1:34607894-35172051
2329669.0,chr1:35512373-35581999
2329752.0,chr1:35734436-35887718
2329887.0,chr1:36022786-36032871
2329920.0,chr1:36038971-36060925
2330002.0,chr1:36273753-36323478
2330075.0,chr1:36335419-36396111
2330133.0,chr1:36396329-36523963
2330234.0,chr1:36549676-36553876
2330253.0,chr1:36554506-36559526
2330289.0,chr1:36621576-36646421
2330334.0,chr1:36673362-36770950
2330393.0,chr1:36771889-36790484
2330687.0,chr1:37940153-37949963
2330723.0,chr1:38019941-38032450
2330773.0,chr1:38158110-38175380
2330843.0,chr1:38258666-38267531
2330899.0,chr1:38474950-38490493
2331158.0,chr1:39456886-39471731
2331178.0,chr1:39492006-39506804
2331213.0,chr1:39547008-39955151
2331505.0,chr1:39946275-39948794
2331511.0,chr1:39956988-39991973
2331558.0,chr1:39992032-39995539
2331602.0,chr1:40157910-40229580
2331679.0,chr1:40420810-40435630
2331727.0,chr1:40505925-40538307
2331771.0,chr1:40627072-40706592
2331822.0,chr1:40723732-40759845
2331857.0,chr1:40810542-40888977
2331903.0,chr1:40915528-40929387
2331937.0,chr1:40942895-40962495
2331959.0,chr1:40974320-40982218
2331974.0,chr1:40982260-41013834
2332013.0,chr1:41157123-41237273
2332091.0,chr1:41249684-41306085
2332144.0,chr1:41403898-41478228
2332481.0,chr1:42619061-42621484
2332528.0,chr1:42814326-42883946
2332566.0,chr1:42921667-42928894
2332583.0,chr1:42928982-43472979
2332711.0,chr1:43124058-43147325
2332767.0,chr1:43232940-43264046
2332812.0,chr1:43282779-43310650
2332855.0,chr1:43312106-43318144
2332999.0,chr1:43638026-43676612
2333035.0,chr1:43735685-43739659
2333051.0,chr1:43748495-43788778
2333107.0,chr1:43803475-43824254
2333136.0,chr1:43824593-43828844
2333168.0,chr1:43855566-43878462
2333195.0,chr1:43882206-43918961
2333318.0,chr1:43976010-44089328
2333429.0,chr1:44115820-44171407
2333481.0,chr1:44173203-44398914
2333574.0,chr1:44398992-44402907
2333599.0,chr1:44412499-44433690
2333635.0,chr1:44435657-44439322
2333658.0,chr1:44440179-44443960
2333663.0,control
2333667.0,control
2333669.0,control
2333670.0,control
2333671.0,control
2333672.0,control
2333673.0,control
2333675.0,control
2333676.0,control
2333677.0,control
2333678.0,chr1:44444635-44456839
2333707.0,chr1:44456991-44462702
2333777.0,chr1:44584522-44600802
2333794.0,chr1:44674932-44695696
2333907.0,chr1:44870706-45117381
2334052.0,chr1:45140388-45191756
2334098.0,chr1:45205510-45233407
2334191.0,chr1:45265648-45271659
2334279.0,chr1:45477840-45481341
2334314.0,chr1:45792582-45794361
2334319.0,chr1:45805342-45809794
2334350.0,chr1:45960786-45979034
2334374.0,chr1:46016468-46035685
2334404.0,chr1:46049303-46084565
2334459.0,chr1:46152896-46160106
2334476.0,chr1:46246949-46507050
2334602.0,chr1:46640770-46662154
2334629.0,chr1:46668988-46687160
2334646.0,chr1:46713380-46745298
2334706.0,chr1:46805869-46833897
2334740.0,chr1:46859780-46927488
2334847.0,chr1:46964435-46981890
2334932.0,chr1:47264680-47335693
2334986.0,chr1:47427108-47516409
2335014.0,chr1:47533047-47583992
2335048.0,chr1:47603158-47638409
2335132.0,chr1:47799485-47900321
2335160.0,chr1:47881754-47892990
2335172.0,chr1:47901699-47906803
2335671.0,chr1:50498143-50669442
2335922.0,chr1:51426417-51440522
2335986.0,chr1:51663138-51753937
2336099.0,chr1:52042861-52255079
2336271.0,chr1:52520704-52567307
2336302.0,chr1:52576498-52812357
2336375.0,chr1:52831899-52835929
2336383.0,chr1:52870236-52883972
2336439.0,chr1:53068044-53074719
2336456.0,chr1:53098900-53148474
2336497.0,chr1:53192159-53293003
2336539.0,chr1:53308193-53360660
2336585.0,chr1:53392968-53517355
2336650.0,chr1:53527738-53551165
2336706.0,chr1:53637169-53680144
2336809.0,chr1:53924962-53942746
2336891.0,chr1:54356929-54377044
2336913.0,chr1:54411745-54433831
2336963.0,chr1:54519265-54578182
2337003.0,chr1:54649734-54692672
2337147.0,chr1:55002469-55104870
2337217.0,chr1:55107459-55175939
2337285.0,chr1:55181456-55208639
2337327.0,chr1:55271505-55308219
2337369.0,chr1:55446158-55457959
2337392.0,chr1:55464616-55477437
2337407.0,chr1:55481149-55530523
2337524.0,chr1:56046720-56333897
2337716.0,chr1:57063734-57176067
2337786.0,chr1:57318174-57393320
2338487.0,chr1:59762487-60228394
2338625.0,chr1:60280533-60342198
2338719.0,chr1:60759621-62089763
2339109.0,chr1:62119923-62121199
2339139.0,chr1:62193452-62695655
2339328.0,chr1:62504514-62505049
2339334.0,chr1:62660503-62677998
2339414.0,chr1:62890533-62917455
2339454.0,chr1:63063178-63071969
2339511.0,chr1:63249803-63331184
2339658.0,chr1:63788406-63790797
2339682.0,chr1:63833281-63902869
2339740.0,chr1:63972383-64051031
2339786.0,chr1:64058926-64126380
2339872.0,chr1:64239654-64645227
2339997.0,chr1:64647716-64786823
2340078.0,chr1:64935823-65174273
2340186.0,chr1:65210778-65298912
2340315.0,chr1:65613252-65731677
2340350.0,chr1:65713922-65881685
2340423.0,chr1:65764465-65765736
2340433.0,chr1:65886314-66103176
2340529.0,chr1:66257899-66840256
2340695.0,chr1:66993150-67210925
2340819.0,chr1:67218142-67244714
2340845.0,chr1:67390513-67453714
2340930.0,chr1:67611909-67725648
2340961.0,chr1:67743735-67879005
2341083.0,chr1:68111332-68179012
2341387.0,chr1:69958789-70605093
2341535.0,chr1:70385015-70386208
2341565.0,chr1:70671098-70719426
2341645.0,chr1:70820508-70833665
2341663.0,chr1:70870634-70919605
2342176.0,chr1:74663922-74673379
2342220.0,chr1:74699504-75010108
2342391.0,chr1:75182501-75232358
2342475.0,chr1:75543715-75665095
2342576.0,chr1:76185543-76229344
2342624.0,chr1:76251886-76260745
2342665.0,chr1:76262581-76378927
2342738.0,chr1:76540414-77103215
2342904.0,chr1:77301545-77531396
2343025.0,chr1:77747637-78025651
2343170.0,chr1:78245232-78345225
2343231.0,chr1:78354218-78410172
2343289.0,chr1:78444879-78499259
2343334.0,chr1:78511434-78632235
2343418.0,chr1:78769578-79004474
2343473.0,chr1:79086136-79108668
2343511.0,chr1:79115494-79199472
2343823.0,chr1:81696950-82458402
2344393.0,chr1:84464183-84704871
2344450.0,chr1:84709971-84710522
2344511.0,chr1:84864009-84880921
2344542.0,chr1:84944965-84964190
2344577.0,chr1:84971984-85031866
2344731.0,chr1:85464840-85599626
2344888.0,chr1:86044088-86094928
2344984.0,chr1:86889789-86922271
2345023.0,chr1:86934051-86966553
2345061.0,chr1:86971736-87054358
2345095.0,chr1:87099995-87121059
2345128.0,chr1:87170279-87228769
2345196.0,chr1:87380339-87575803
2345239.0,chr1:87594994-87634887
2345286.0,chr1:87685745-87816229
2345617.0,chr1:89101172-89301918
2345816.0,chr1:89829547-89853711
2345880.0,chr1:89982645-90063420
2345929.0,chr1:90098641-90235462
2346023.0,chr1:90286435-90401997
2346074.0,chr1:90460634-90567888
2346399.0,chr1:91876579-92074887
2346575.0,chr1:92375927-92480003
2346625.0,chr1:92495558-92529252
2346657.0,chr1:92545872-92613393
2346738.0,chr1:92764532-92877852
2346863.0,chr1:93221766-93309266
2346934.0,chr1:93374923-93604614
2347023.0,chr1:93645492-93783711
2347096.0,chr1:93811113-93846608
2347132.0,chr1:93914726-94020301
2347502.0,chr1:94883947-94984219
2347625.0,chr1:95269112-95360799
2347732.0,chr1:95538369-95663163
2347788.0,chr1:95696458-95791297
2348060.0,chr1:97187217-97372055
2348437.0,chr1:99127222-99290707
2348514.0,chr1:99729368-99775136
2348569.0,chr1:100111451-100164181
2348634.0,chr1:100315640-100389572
2348702.0,chr1:100434935-100492513
2348757.0,chr1:100503662-100548916
2348792.0,chr1:100575285-100616042
2348854.0,chr1:100731748-100757545
2348896.0,chr1:100817310-100985825
2348962.0,chr1:101003693-101008272
2348992.0,chr1:101109692-101326671
2349043.0,chr1:101361322-101461796
2349086.0,chr1:101455537-101457660
2349129.0,chr1:101652966-101707058
2349211.0,chr1:102337567-102431127
2349345.0,chr1:104044975-104097854
2349402.0,chr1:104104399-104198724
2349848.0,chr1:107599338-107605412
2349863.0,chr1:107682639-108073484
2350287.0,chr1:109233375-109244725
2350316.0,chr1:109255289-109285365
2350339.0,chr1:109289259-109352139
2350391.0,chr1:109399849-109401146
2350489.0,chr1:109656538-109749587
2350551.0,chr1:109756540-109782546
2350596.0,chr1:109792643-109818373
2350714.0,chr1:110009199-110025593
2350741.0,chr1:110018484-110035416
2350787.0,chr1:110036309-110048167
2350818.0,chr1:110077403-110089882
2350840.0,chr1:110091213-110137064
2350880.0,chr1:110162469-110197413
2350922.0,chr1:110198703-110222850
2350952.0,chr1:110210667-110252902
2350981.0,chr1:110230442-110241207
2351004.0,chr1:110254865-110318030
2351063.0,chr1:110387480-110473611
2351121.0,chr1:110527302-110566354
2351171.0,chr1:110574209-110617263
2351233.0,chr1:110646041-110657003
2351294.0,chr1:110753100-110877571
2351393.0,chr1:110881144-110915600
2351465.0,chr1:110993749-110999966
2351572.0,chr1:111413829-111495460
2351632.0,chr1:111682259-111728614
2351687.0,chr1:111743413-111795135
2351763.0,chr1:111833484-111866699
2351787.0,chr1:111867305-111900301
2351817.0,chr1:111991512-112004520
2351854.0,chr1:112016434-112021132
2351872.0,chr1:112084850-112284142
2351940.0,chr1:112298214-112310198
2352106.0,chr1:112902040-113009148
2352169.0,chr1:113009173-113066070
2352228.0,chr1:113144301-113214213
2352275.0,chr1:113215783-113245690
2352338.0,chr1:113261535-113274279
2352501.0,chr1:113615841-113669894
2352609.0,chr1:113933145-114228525
2352743.0,chr1:114447788-114456696
2352758.0,chr1:114471944-114520491
2352804.0,chr1:114522034-114524860
2353021.0,chr1:115397444-115537988
2353067.0,chr1:115572415-115576941
2353237.0,chr1:116137164-116234041
2353283.0,chr1:116235521-116236729
2353337.0,chr1:116519024-116612667
2353396.0,chr1:116654180-116694677
2353477.0,chr1:116905252-116952863
2353669.0,chr1:117297027-117347575
2353717.0,chr1:117452689-117532972
2353749.0,chr1:117544440-117579147
2353773.0,chr1:117591336-117645489
2353881.0,chr1:117888331-118130467
2353988.0,chr1:118148576-118170982
2354082.0,chr1:118472304-118503049
2354365.0,chr1:119829198-119936751
2354433.0,chr1:119957727-120130146
2354553.0,chr1:120049846-120057672
2354634.0,chr1:120202441-120286788
2355591.0,chr1:144989319-144991373
2355615.0,chr1:145101967-145138159
2356100.0,chr1:145398495-145418117
2356115.0,chr1:145438489-145452894
2356142.0,chr1:145470125-145501617
2356181.0,chr1:145507619-145513968
2356205.0,chr1:145516202-145523728
2356218.0,chr1:145524911-145544558
2356273.0,chr1:145549244-145573915
2356300.0,chr1:145571160-145586536
2356344.0,chr1:145611010-145706917
2356425.0,chr1:145713525-145792916
2356658.0,chr1:146522325-146525594
2356721.0,chr1:146714354-146767442
2356818.0,chr1:146986102-147098008
2357193.0,chr1:147915900-147920925
2357845.0,chr1:149718521-149765367
2357961.0,chr1:149859438-149872344
2357996.0,chr1:150039369-150117495
2358044.0,chr1:150121393-150136908
2358092.0,chr1:150228790-150239035
2358117.0,chr1:150240891-150253316
2358136.0,chr1:150254963-150259499
2358153.0,chr1:150266269-150282212
2358171.0,chr1:150293959-150325697
2358221.0,chr1:150335577-150449397
2358320.0,chr1:150459889-150480078
2358360.0,chr1:150480518-150486403
2358393.0,chr1:150521885-150540131
2358426.0,chr1:150522766-150524372
2358520.0,chr1:150898787-150938646
2358591.0,chr1:150953717-150969649
2358623.0,chr1:150980639-151008189
2358646.0,chr1:151009049-151020062
2358671.0,chr1:151020268-151024461
2358693.0,chr1:151031770-151040940
2358700.0,chr1:151042896-151096506
2358736.0,chr1:151129125-151133227
2358743.0,chr1:151138478-151142763
2358761.0,chr1:151171024-151222748
2358821.0,chr1:151227195-151239933
2358855.0,chr1:151254310-151267268
2358906.0,chr1:151372030-151374403
2358949.0,chr1:151482584-151511153
2358993.0,chr1:151512692-151556050
2359036.0,chr1:151584551-151671929
2359113.0,chr1:151735395-151743805
2359282.0,chr1:152411115-152510388
2359302.0,chr1:152486968-152488480
2359322.0,chr1:152573208-152573654
2359329.0,chr1:152586287-152595583
2359352.0,chr1:152636582-152637115
2359360.0,chr1:152647774-152659874
2359377.0,chr1:152671378-152671898
2359386.0,chr1:152680636-152681947
2359431.0,chr1:152748848-152749204
2359433.0,chr1:152758710-152760897
2359439.0,chr1:152770271-152770615
2359444.0,chr1:152784448-152785585
2359453.0,chr1:152850798-152857521
2359470.0,chr1:152881039-152884360
2359483.0,chr1:152943128-152945046
2359492.0,chr1:152956567-152973933
2359504.0,chr1:152974205-152985339
2359521.0,chr1:153003679-153005376
2359646.0,chr1:153233426-153234594
2359664.0,chr1:153330330-153341061
2359691.0,chr1:153389000-153395698
2359736.0,chr1:153606324-153618820
2359764.0,chr1:153630957-153635001
2359780.0,chr1:153643058-153666465
2359817.0,chr1:153700383-153746555
2359885.0,chr1:153747285-153752626
2359993.0,chr1:153938688-153946831
2360083.0,chr1:154192515-154244077
2360158.0,chr1:154244928-154248346
2360186.0,chr1:154284938-154297801
2360206.0,chr1:154298039-154323771
2360257.0,chr1:154377669-154441922
2360310.0,chr1:154480899-154520622
2360346.0,chr1:154540257-154562116
2360468.0,chr1:154955817-154966405
2360498.0,chr1:154966084-154966793
2360506.0,chr1:154974194-154990981
2360541.0,chr1:155006300-155023406
2360576.0,chr1:155023758-155035378
2360633.0,chr1:155036213-155042014
2360647.0,chr1:155051338-155060011
2360677.0,chr1:155099018-155107384
2360700.0,chr1:155107840-155111327
2360728.0,chr1:155146364-155157435
2360773.0,chr1:155178490-155204823
2360818.0,chr1:155247214-155259800
2360850.0,chr1:155274625-155290454
2360887.0,chr1:155290697-155300903
2360939.0,chr1:155402993-155404043
2360989.0,chr1:155580007-155585516
2361036.0,chr1:155657760-155708802
2361154.0,chr1:155823276-155854962
2361196.0,chr1:155911501-155916326
2361241.0,chr1:156021520-156028292
2361257.0,chr1:156030966-156040263
2361279.0,chr1:156052379-156109871
2361342.0,chr1:156117177-156147534
2361384.0,chr1:156151523-156182586
2361401.0,chr1:156182825-156213108
2361447.0,chr1:156252736-156262953
2361472.0,chr1:156307109-156317513
2361488.0,chr1:156338755-156392237
2361584.0,chr1:156561559-156564089
2361612.0,chr1:156589086-156595511
2361635.0,chr1:156611202-156629315
2361697.0,chr1:156698278-156707581
2361731.0,chr1:156720469-156770577
2361761.0,chr1:156785468-156851641
2361839.0,chr1:156890452-156902908
2362089.0,chr1:157963063-158070043
2362157.0,chr1:158149737-158163244
2362180.0,chr1:158174228-158228051
2362201.0,chr1:158259596-158263391
2362230.0,chr1:158323560-158390551
2362270.0,chr1:158431670-158436293
2362276.0,chr1:158449668-158450636
2362282.0,chr1:158460961-158577170
2362323.0,chr1:158694122-158725637
2362333.0,chr1:158800389-158819288
2362351.0,chr1:158848513-158946826
2362394.0,chr1:158948655-159024937
2362469.0,chr1:159141025-159173353
2362511.0,chr1:159173194-159176342
2362537.0,chr1:159259504-159279655
2362591.0,chr1:159402636-159410494
2362651.0,chr1:159501409-159559160
2362702.0,chr1:159728960-159752936
2362723.0,chr1:159772215-159788311
2362746.0,chr1:159796540-159807281
2362860.0,chr1:160051338-160060353
2362892.0,chr1:160069965-160114229
2362950.0,chr1:160121360-160156766
2362991.0,chr1:160160151-160289684
2363042.0,chr1:160175125-160185154
2363074.0,chr1:160287104-160288262
2363084.0,chr1:160313062-160328736
2363128.0,chr1:160336867-160342638
2363202.0,chr1:160709022-160725097
2363248.0,chr1:160765903-160798231
2363372.0,chr1:161068168-161070130
2363389.0,chr1:161087882-161097097
2363424.0,chr1:161123144-161129141
2363444.0,chr1:161129260-161135504
2363484.0,chr1:161136199-161147803
2363525.0,chr1:161167229-161184179
2363562.0,chr1:161185044-161190478
2363579.0,chr1:161195797-161213089
2363618.0,chr1:161284062-161333591
2363679.0,chr1:161402371-161404616
2363689.0,chr1:161415096-161493194
2363784.0,chr1:161494449-161496700
2363808.0,chr1:161509722-161648424
2363852.0,chr1:161676762-161684136
2363876.0,chr1:161692355-161698230
2363902.0,chr1:161719540-161726937
2363919.0,chr1:161736054-161942212
2363992.0,chr1:161860122-161861977
2364016.0,chr1:161999843-162356601
2364155.0,chr1:162414433-162499512
2364189.0,chr1:162531289-162569681
2364231.0,chr1:162601183-162757170
2364381.0,chr1:163036654-163046590
2364438.0,chr1:163291725-163370364
2364677.0,chr1:164515697-164855906
2365086.0,chr1:165475566-165533185
2365119.0,chr1:165556968-165626467
2365181.0,chr1:165667997-165679195
2365210.0,chr1:165796788-166059442
2365391.0,chr1:166535403-166644701
2365496.0,chr1:166766078-166825581
2365597.0,chr1:166944841-167021351
2365675.0,chr1:167190133-167386227
2365872.0,chr1:167599330-167675487
2365933.0,chr1:167638045-167640101
2365958.0,chr1:167691214-167760397
2366028.0,chr1:167905041-168045068
2366132.0,chr1:168148181-168171344
2366156.0,chr1:168195161-168212411
2366184.0,chr1:168250129-168312286
2366287.0,chr1:168513189-168551315
2366355.0,chr1:168756187-168762124
2366422.0,chr1:169075580-169102322
2366490.0,chr1:169329274-169365506
2366581.0,chr1:169631255-169823479
2366753.0,chr1:170501290-170549957
2366798.0,chr1:170606182-170857597
2366884.0,chr1:170897038-171046151
2366941.0,chr1:171060038-171086947
2367050.0,chr1:171217658-171255521
